Department,Entity,Pay Date,Product Family,Expense area,Supplier Name,Transaction Number,Net Amount,,,,,,,,,,,,
DESNZ,UKAEA,08/11/2023,Research,Fusion,Atkins Ltd,5162704,"12,358.50",,,,,,,,,,,,
DESNZ,UKAEA,22/11/2023,Research,Fusion,Atkins Ltd,5163695,"12,703.75",,,,,,,,,,,,
DESNZ,UKAEA,03/11/2023,Research,Fusion,Atkins Ltd,5162047,"13,643.50",,,,,,,,,,,,
DESNZ,UKAEA,20/11/2023,Research,Fusion,Atkins Ltd,5161545,"13,737.67",,,,,,,,,,,,
DESNZ,UKAEA,22/11/2023,Research,Fusion,Atkins Ltd,5163693,"14,253.90",,,,,,,,,,,,
DESNZ,UKAEA,28/11/2023,Consultancy - Other (per Cabinet Office definition),Fusion,Atkins Ltd,5163945,"14,631.90",,,,,,,,,,,,
DESNZ,UKAEA,22/11/2023,Research,Fusion,Atkins Ltd,5163694,"15,868.88",,,,,,,,,,,,
DESNZ,UKAEA,20/11/2023,Professional Services,Fusion,Atkins Ltd,5163513,"26,138.52",,,,,,,,,,,,
DESNZ,UKAEA,22/11/2023,Research,Fusion,Atkins Ltd,5163727,"30,896.00",,,,,,,,,,,,
DESNZ,UKAEA,22/11/2023,Research,Fusion,Atkins Ltd,5163767,"39,591.00",,,,,,,,,,,,
DESNZ,UKAEA,15/11/2023,ICT,Property,Aztex Solutions Ltd,5163376,"7,818.60",,,,,,,,,,,,
DESNZ,UKAEA,08/11/2023,ICT,Fusion,Aztex Solutions Ltd,5162508,665.98,,,,,,,,,,,,
DESNZ,UKAEA,03/11/2023,Engineering Goods,Fusion,B & M Engineers Ltd,5162256,580.00,,,,,,,,,,,,
DESNZ,UKAEA,03/11/2023,Engineering Goods,Property,B & M Engineers Ltd,5162082,"3,878.00",,,,,,,,,,,,
DESNZ,UKAEA,13/11/2023,Facilities,Fusion,BAM FM Ltd,5163039,"-3,375.17",,,,,,,,,,,,
DESNZ,UKAEA,13/11/2023,Facilities,Fusion,BAM FM Ltd,5163024,"5,724.23",,,,,,,,,,,,
DESNZ,UKAEA,28/11/2023,Facilities,Fusion,BAM FM Ltd,5163843,"5,724.23",,,,,,,,,,,,
DESNZ,UKAEA,13/11/2023,Research,Other,Bangor University,5163152,"227,280.00",,,,,,,,,,,,
DESNZ,UKAEA,03/11/2023,Facilities,Property,Barclays Eagle Labs Cumbria,5162067,"5,800.00",,,,,,,,,,,,
DESNZ,UKAEA,28/11/2023,Facilities,Property,Baxter Storey Ltd.,5163994,759.90,,,,,,,,,,,,
DESNZ,UKAEA,22/11/2023,Travel,Property,Baxter Storey Ltd.,5163788,766.67,,,,,,,,,,,,
DESNZ,UKAEA,08/11/2023,Facilities,Fusion,Baxter Storey Ltd.,5162726,"1,507.79",,,,,,,,,,,,
DESNZ,UKAEA,03/11/2023,Facilities,Property,Baxter Storey Ltd.,5161668,"1,110.00",,,,,,,,,,,,
DESNZ,UKAEA,28/11/2023,Facilities,Property,Baxter Storey Ltd.,5163996,"1,212.68",,,,,,,,,,,,
